NMESAJID,SKAPINUMARASI,SSOFORSICILNO,SMESAJMETNI,zaman,NBOYLAM,NENLEM,kaynak
90000000,DEMO-2824,613112,YOL ÇÖKMESİ,2026-07-19 20:41:33.926530,29.080363,41.029958,Sentetik (Demo)
90000001,DEMO-4657,673158,BOZUK SATIH,2026-07-15 05:41:33.926530,29.271445,40.868404,Sentetik (Demo)
90000002,DEMO-9935,645580,KALDIRIM TAŞMASI,2026-07-17 22:41:33.926530,28.666117,41.0935,Sentetik (Demo)
90000003,DEMO-1520,615622,BOZUK SATIH,2026-07-20 03:41:33.926530,28.910574,41.008565,Sentetik (Demo)
90000004,DEMO-4811,864951,KALDIRIM TAŞMASI,2026-07-22 04:41:33.926530,29.32455,40.827854,Sentetik (Demo)
90000005,DEMO-4257,885706,ASFALT BOZUK,2026-07-20 02:41:33.926530,29.200908,41.18087,Sentetik (Demo)
90000006,DEMO-8359,745852,BOZUK SATIH,2026-07-14 08:41:33.926530,29.076195,41.087655,Sentetik (Demo)
90000007,DEMO-3615,821571,YOL ÇÖKMESİ,2026-07-19 11:41:33.926530,28.906273,41.08523,Sentetik (Demo)
90000008,DEMO-3547,712886,YOL ÇÖKMESİ,2026-07-21 08:41:33.926530,29.029329,41.055537,Sentetik (Demo)
90000009,DEMO-2519,799191,BOZUK SATIH,2026-07-18 15:41:33.926530,29.245707,41.047935,Sentetik (Demo)
90000010,DEMO-6635,738685,BOZUK SATIH,2026-07-14 16:41:33.926530,29.106118,40.965434,Sentetik (Demo)
90000011,DEMO-8527,881137,BOZUK SATIH,2026-07-12 14:41:33.926530,28.974828,41.092411,Sentetik (Demo)
90000012,DEMO-7201,641313,KALDIRIM TAŞMASI,2026-07-19 07:41:33.926530,28.784026,41.047227,Sentetik (Demo)
90000013,DEMO-6925,700814,BOZUK SATIH,2026-07-21 23:41:33.926530,29.283492,40.945234,Sentetik (Demo)
90000014,DEMO-4733,751722,BOZUK SATIH,2026-07-13 08:41:33.926530,28.920439,40.996859,Sentetik (Demo)
90000015,DEMO-4814,652953,ASFALT BOZUK,2026-07-19 11:41:33.926530,28.728373,41.204039,Sentetik (Demo)
90000016,DEMO-8428,791277,ÇUKUR VAR,2026-07-18 12:41:33.926530,28.94024,41.068365,Sentetik (Demo)
90000017,DEMO-6820,709842,YOL ÇÖKMESİ,2026-07-14 23:41:33.926530,28.813364,41.068437,Sentetik (Demo)
90000018,DEMO-2169,689725,KALDIRIM TAŞMASI,2026-07-14 16:41:33.926530,29.358879,40.828535,Sentetik (Demo)
90000019,DEMO-5010,685669,ASFALT BOZUK,2026-07-18 09:41:33.926530,29.234011,40.997135,Sentetik (Demo)
90000020,DEMO-5422,892002,ÇUKUR VAR,2026-07-15 03:41:33.926530,29.161608,40.933633,Sentetik (Demo)
90000021,DEMO-6313,629327,ÇUKUR VAR,2026-07-13 16:41:33.926530,29.022141,41.08731,Sentetik (Demo)
90000022,DEMO-1525,765388,ASFALT BOZUK,2026-07-19 14:41:33.926530,28.680421,40.981274,Sentetik (Demo)
90000023,DEMO-2084,710615,KALDIRIM TAŞMASI,2026-07-13 02:41:33.926530,28.989083,41.095833,Sentetik (Demo)
90000024,DEMO-6155,711477,ASFALT BOZUK,2026-07-18 05:41:33.926530,29.226794,40.984429,Sentetik (Demo)
90000025,DEMO-8517,674905,YOL ÇÖKMESİ,2026-07-20 23:41:33.926530,28.788023,41.058463,Sentetik (Demo)
90000026,DEMO-5040,894318,KALDIRIM TAŞMASI,2026-07-19 15:41:33.926530,28.554696,41.029799,Sentetik (Demo)
90000027,DEMO-8019,809400,YOL ÇÖKMESİ,2026-07-20 02:41:33.926530,29.038147,41.082713,Sentetik (Demo)
90000028,DEMO-3266,867138,ASFALT BOZUK,2026-07-21 11:41:33.926530,29.024653,41.129426,Sentetik (Demo)
90000029,DEMO-1771,657487,ÇUKUR VAR,2026-07-15 18:41:33.926530,29.225632,40.988192,Sentetik (Demo)
90000030,DEMO-3621,821333,KALDIRIM TAŞMASI,2026-07-21 18:41:33.926530,28.912285,41.086968,Sentetik (Demo)
90000031,DEMO-7304,800078,KALDIRIM TAŞMASI,2026-07-17 11:41:33.926530,29.026064,41.050233,Sentetik (Demo)
90000032,DEMO-9669,731813,KALDIRIM TAŞMASI,2026-07-13 06:41:33.926530,29.257091,41.04175,Sentetik (Demo)
90000033,DEMO-1188,660058,KALDIRIM TAŞMASI,2026-07-14 10:41:33.926530,29.105784,41.111294,Sentetik (Demo)
90000034,DEMO-5371,778349,BOZUK SATIH,2026-07-19 07:41:33.926530,28.628287,41.083387,Sentetik (Demo)
90000035,DEMO-8123,682920,ASFALT BOZUK,2026-07-22 10:41:33.926530,29.252725,40.969692,Sentetik (Demo)
90000036,DEMO-5315,862451,ÇUKUR VAR,2026-07-17 01:41:33.926530,29.046213,41.005593,Sentetik (Demo)
90000037,DEMO-2743,756471,KALDIRIM TAŞMASI,2026-07-15 23:41:33.926530,28.884572,41.18592,Sentetik (Demo)
90000038,DEMO-4258,680131,YOL ÇÖKMESİ,2026-07-14 07:41:33.926530,28.99326,41.09932,Sentetik (Demo)
90000039,DEMO-3646,882789,KALDIRIM TAŞMASI,2026-07-12 15:41:33.926530,29.255247,40.977266,Sentetik (Demo)
