hat_kodu,SHATADI,HAT_UZUNLUGU,SEFER_SURESI,oran_haziran,sefer_haziran,yolcu_haziran,oran_aralik,sefer_aralik,yolcu_aralik,ortalama_oran,ortalama_sefer,ortalama_yolcu,ortalama_yolcu_sefer,verimlilik_tier,kok_kod,supheli_kod_eslesmesi,hat_tipi_kume,hat_tipi_ad
10,Ü.EĞT.ARŞ.HASTANESİ - ATAŞEHİR / BOSTANCI,18.95674,88.01,5.211974155531727,6572,649327,4.586648922088178,7468,649327,4.899311538809952,7020.0,649327.0,92.49672364672364,ust_ceyrek,10,False,1,ana_arter
10A,ESATPAŞA - YEDİTEPE ÜNİVERSİTESİ / FERHATPAŞA,19.12179,91.05,2.8861402232629096,2248,124063,2.212838752351644,2932,124063,2.5494894878072767,2590.0,124063.0,47.9007722007722,orta_ust,10,False,0,orta_yogunluklu
10B,BOSTANCI - KADIKÖY,14.26032,67.8,1.29078286771868,430,7915,1.334222675766905,416,7915,1.3125027717427924,423.0,7915.0,18.71158392434988,alt_ceyrek,10,False,2,tali_kucuk
10E,ESATPAŞA - KADIKÖY,12.02226,57.96,3.5038091187196523,1447,60953,3.320243480541805,1527,60953,3.4120262996307287,1487.0,60953.0,40.99058507061197,orta_alt,10,False,2,tali_kucuk
10EK,ESATPAŞA / ATAŞEHİR - KOZYATAĞI METRO,10.27729,50.59,2.304242224954479,703,16648,2.092871168143409,774,16648,2.198556696548944,738.5,16648.0,22.542992552471222,alt_ceyrek,10,False,2,tali_kucuk
10G,ÜMRANİYE / ESATPAŞA -  KADIKÖY,17.34123,84.46,1.8767091171989785,90,2929,0.7642706812122537,221,2929,1.320489899205616,155.5,2929.0,18.836012861736336,alt_ceyrek,10,False,2,tali_kucuk
11,YENİDOĞAN - ALTUNİZADE METROBÜS,22.0013,104.36,2.291870397702016,1061,53500,2.069510205924969,1175,53500,2.1806903018134927,1118.0,53500.0,47.853309481216456,orta_ust,11,False,2,tali_kucuk
11A,ÖZYEĞİN ÜNİVERSİTESİ / ALEMDAĞ - ALTUNİZADE METROBÜS,29.18507,137.88,1.1022498293503544,2009,64628,0.9943511033519812,2227,64628,1.0483004663511677,2118.0,64628.0,30.51369216241737,orta_alt,11,False,3,uzun_kirsal
11BE,BURHANİYE MAHALLESİ - ÜSKÜDAR,12.08048,56.88,3.125206945419388,500,18877,2.8883613173931493,541,18877,3.0067841314062687,520.5,18877.0,36.26705091258405,orta_alt,11,False,2,tali_kucuk
11C,BURHANİYE MAHALLESİ - ÜSKÜDAR MARMARAY,7.76483,40.47,8.003118824604934,1281,79605,7.696693103843035,1332,79605,7.849905964223985,1306.5,79605.0,60.92996555683123,orta_ust,11,False,2,tali_kucuk
