KAZASAAT,BOYLAM,ENLEM,zaman
/Date(1784693280000)/,29.217144,40.943428,2026-07-22 04:08:00
/Date(1784643000000)/,29.0859,41.13803,2026-07-21 14:10:00
/Date(1784622960000)/,29.0722122,41.0464668,2026-07-21 08:36:00
/Date(1784612640000)/,28.6281,41.04952,2026-07-21 05:44:00
/Date(1784611860000)/,29.22268,40.98201,2026-07-21 05:31:00
/Date(1784574480000)/,28.7894478,41.0578766,2026-07-20 19:08:00
/Date(1784565600000)/,29.20691,41.01373,2026-07-20 16:40:00
/Date(1784522100000)/,29.02677,41.08609,2026-07-20 04:35:00
/Date(1784520180000)/,29.29563,40.81668,2026-07-20 04:03:00
/Date(1784495340000)/,28.9548454,41.01529,2026-07-19 21:09:00
/Date(1784464020000)/,29.0243874,40.9940948,2026-07-19 12:27:00
/Date(1784310120000)/,28.7222061,41.0540428,2026-07-17 17:42:00
/Date(1784306460000)/,28.973156,41.0821152,2026-07-17 16:41:00
/Date(1784290080000)/,28.65047,41.0118,2026-07-17 12:08:00
/Date(1784203980000)/,29.05464,41.11237,2026-07-16 12:13:00
/Date(1784190840000)/,29.0754089,41.01642,2026-07-16 08:34:00
/Date(1784126640000)/,29.2836571,40.9355125,2026-07-15 14:44:00
/Date(1784032440000)/,29.0928,41.13122,2026-07-14 12:34:00
/Date(1784005080000)/,28.6785755,41.03729,2026-07-14 04:58:00
/Date(1783949160000)/,29.00638,41.04193,2026-07-13 13:26:00
/Date(1783946040000)/,28.7938347,41.14435,2026-07-13 12:34:00
/Date(1783877400000)/,29.00699,41.04371,2026-07-12 17:30:00
/Date(1783840680000)/,28.94456,41.02244,2026-07-12 07:18:00
/Date(1783780320000)/,29.08708,41.14039,2026-07-11 14:32:00
/Date(1783748100000)/,28.93186,41.02755,2026-07-11 05:35:00
/Date(1783668540000)/,28.60629,40.9964066,2026-07-10 07:29:00
/Date(1783659780000)/,29.1540718,40.9171677,2026-07-10 05:03:00
/Date(1783614660000)/,29.2252064,40.98976,2026-07-09 16:31:00
/Date(1783582680000)/,28.8708153,41.00592,2026-07-09 07:38:00
