hat,saat,yolcu,sefer,yolcu_per_sefer
10,5,38,2,19.0
10,6,1028,14,73.4
10,7,2372,16,148.2
10,8,2293,16,143.3
10,9,1782,13,137.1
10,10,1367,12,113.9
10,11,1382,16,86.4
10,12,1616,15,107.7
10,13,1545,12,128.8
10,14,1642,14,117.3
10,15,1885,14,134.6
10,16,2005,11,182.3
10,17,2215,14,158.2
10,18,1988,11,180.7
10,19,1850,11,168.2
10,20,1132,12,94.3
10,21,902,9,100.2
10,22,723,7,103.3
10,23,247,4,61.8
10A,6,380,6,63.3
10A,7,793,7,113.3
10A,8,876,6,146.0
10A,9,506,5,101.2
10A,10,364,5,72.8
10A,11,381,5,76.2
10A,12,368,4,92.0
10A,13,326,4,81.5
10A,14,386,3,128.7
10A,15,354,4,88.5
10A,16,601,6,100.2
10A,17,716,7,102.3
10A,18,696,6,116.0
10A,19,436,5,87.2
10A,20,236,5,47.2
10A,21,153,5,30.6
10A,22,138,3,46.0
10B,6,51,1,51.0
10B,7,96,1,96.0
10B,8,108,1,108.0
10B,13,117,1,117.0
10B,14,29,1,29.0
10B,15,9,1,9.0
10B,16,10,1,10.0
10B,17,33,1,33.0
10B,19,21,1,21.0
10B,20,14,1,14.0
10B,21,5,1,5.0
10E,6,50,2,25.0
10E,7,337,6,56.2
10E,8,216,3,72.0
10E,9,245,6,40.8
10E,10,231,2,115.5
10E,11,114,3,38.0
10E,12,104,4,26.0
10E,13,93,2,46.5
10E,14,148,2,74.0
10E,15,224,4,56.0
10E,16,138,3,46.0
10E,17,174,3,58.0
10E,18,226,4,56.5
10E,19,210,3,70.0
10E,20,112,3,37.3
10E,21,69,2,34.5
10E,22,34,1,34.0
10EK,6,37,1,37.0
10EK,7,129,3,43.0
10EK,8,102,1,102.0
10EK,9,50,2,25.0
10EK,10,53,2,26.5
10EK,11,35,2,17.5
10EK,12,45,2,22.5
10EK,13,41,2,20.5
10EK,14,59,2,29.5
10EK,15,150,2,75.0
10EK,16,89,2,44.5
10EK,18,109,2,54.5
10EK,19,41,2,20.5
10EK,21,27,2,13.5
10EK,22,8,1,8.0
10G,6,36,1,36.0
10G,7,44,1,44.0
10G,10,2,1,2.0
10G,13,6,1,6.0
10G,15,3,1,3.0
10G,19,3,1,3.0
11,5,143,1,143.0
11,6,334,2,167.0
11,7,503,2,251.5
11,8,292,1,292.0
11,9,282,2,141.0
11,11,100,1,100.0
11,13,130,2,65.0
11,14,166,4,41.5
11,15,301,4,75.2
11,16,169,2,84.5
11,17,384,4,96.0
11,18,322,3,107.3
11,19,293,2,146.5
11,20,202,2,101.0
11A,5,61,2,30.5
11A,6,218,5,43.6
11A,7,418,6,69.7
11A,8,334,3,111.3
11A,9,197,2,98.5
11A,10,67,3,22.3
11A,11,149,2,74.5
11A,12,124,5,24.8
11A,13,109,5,21.8
11A,14,142,6,23.7
11A,15,455,6,75.8
11A,16,423,6,70.5
11A,17,201,4,50.2
11A,18,221,3,73.7
11A,19,106,3,35.3
11BE,6,58,1,58.0
11BE,7,135,2,67.5
11BE,8,181,3,60.3
11BE,9,108,1,108.0
11BE,10,136,1,136.0
11BE,11,40,1,40.0
11BE,12,102,1,102.0
11BE,13,83,1,83.0
11BE,14,112,2,56.0
11BE,15,115,1,115.0
11BE,16,74,2,37.0
11BE,17,134,1,134.0
11BE,18,84,1,84.0
11BE,19,44,1,44.0
11BE,20,56,1,56.0
11BE,21,24,1,24.0
11BE,22,26,1,26.0
11C,6,314,4,78.5
11C,7,544,5,108.8
11C,8,458,3,152.7
11C,9,271,2,135.5
11C,10,196,2,98.0
11C,11,244,1,244.0
11C,12,170,1,170.0
11C,13,147,2,73.5
11C,14,343,3,114.3
11C,15,329,2,164.5
11C,16,327,2,163.5
11C,17,295,2,147.5
11C,18,269,1,269.0
11C,19,167,3,55.7
11C,20,159,3,53.0
11C,21,104,3,34.7
11C,22,103,1,103.0
11CÜ,6,11,1,11.0
11CÜ,7,63,1,63.0
11CÜ,8,40,1,40.0
11CÜ,15,29,1,29.0
11CÜ,17,18,1,18.0
11D,5,31,2,15.5
11D,6,118,2,59.0
11D,7,108,3,36.0
11D,8,96,1,96.0
11D,9,22,2,11.0
11D,11,34,1,34.0
11D,13,49,1,49.0
11D,14,49,2,24.5
11D,15,53,2,26.5
11D,16,24,2,12.0
11D,17,35,1,35.0
11D,18,43,1,43.0
11D,20,29,1,29.0
11E,6,37,1,37.0
11E,7,13,1,13.0
11E,8,83,1,83.0
11ES,6,33,2,16.5
11ES,7,54,1,54.0
11ES,14,15,1,15.0
11G,6,2,1,2.0
11G,7,70,1,70.0
11G,15,62,1,62.0
11G,16,61,1,61.0
11G,17,13,1,13.0
11G,18,34,1,34.0
11H,5,35,3,11.7
11H,6,468,10,46.8
11H,7,1348,11,122.5
11H,8,1455,11,132.3
11H,9,1035,9,115.0
11H,10,886,11,80.5
11H,11,804,8,100.5
11H,12,1043,8,130.4
11H,13,864,9,96.0
11H,14,1106,10,110.6
11H,15,1319,7,188.4
11H,16,1218,10,121.8
11H,17,1060,8,132.5
11H,18,855,7,122.1
11H,19,891,10,89.1
11H,20,576,9,64.0
11H,21,451,9,50.1
11H,22,354,7,50.6
11H,23,101,3,33.7
11K,5,53,2,26.5
11K,6,62,2,31.0
11K,7,115,2,57.5
11K,8,74,2,37.0
11K,14,11,1,11.0
11K,15,78,1,78.0
11K,16,95,1,95.0
11K,17,85,2,42.5
11K,18,92,1,92.0
11L,6,104,3,34.7
11L,7,122,2,61.0
11L,8,114,2,57.0
11L,9,37,1,37.0
11L,10,25,1,25.0
11L,11,36,1,36.0
11L,12,40,1,40.0
11L,13,24,1,24.0
11L,14,17,1,17.0
11L,16,82,2,41.0
11L,17,79,2,39.5
11L,19,121,2,60.5
11L,20,44,2,22.0
11L,21,34,1,34.0
11M,6,66,1,66.0
11M,7,41,2,20.5
11M,10,34,1,34.0
11M,11,19,1,19.0
11M,13,39,1,39.0
11M,14,5,1,5.0
11M,15,32,1,32.0
11M,16,20,1,20.0
11M,17,39,1,39.0
11M,18,16,1,16.0
11M,20,6,1,6.0
11P,5,30,1,30.0
11P,6,121,1,121.0
11P,7,317,3,105.7
11P,8,185,1,185.0
11P,9,66,1,66.0
11P,10,88,1,88.0
11P,11,64,1,64.0
11P,12,64,1,64.0
11P,14,54,2,27.0
11P,17,98,3,32.7
11P,19,112,1,112.0
11P,20,70,1,70.0
11R,6,35,3,11.7
11R,7,26,2,13.0
11R,8,72,3,24.0
11R,17,65,2,32.5
11R,18,19,2,9.5
11SA,5,20,1,20.0
11SA,6,101,2,50.5
11SA,8,140,2,70.0
11SA,9,31,1,31.0
11SA,13,84,2,42.0
11SA,14,59,1,59.0
11SA,15,25,1,25.0
11SA,17,61,2,30.5
11SA,18,39,2,19.5
11SA,20,15,2,7.5
11SA,21,18,1,18.0
11ST,5,12,1,12.0
11ST,6,107,1,107.0
11ST,7,225,3,75.0
11ST,8,262,2,131.0
11ST,9,62,2,31.0
11ST,11,28,1,28.0
11ST,12,56,1,56.0
11ST,13,67,1,67.0
11ST,14,40,2,20.0
11ST,15,147,2,73.5
11ST,16,111,2,55.5
11ST,17,183,2,91.5
11ST,18,180,2,90.0
11ST,20,21,1,21.0
11ST,21,25,1,25.0
11T,5,74,2,37.0
11T,6,213,5,42.6
11T,7,309,3,103.0
11T,8,231,1,231.0
11T,10,55,2,27.5
11T,12,59,2,29.5
11T,13,48,1,48.0
11T,14,136,2,68.0
11T,15,204,3,68.0
11T,16,146,1,146.0
11T,17,170,2,85.0
11T,19,64,1,64.0
11T,20,29,1,29.0
11T,21,49,2,24.5
11T,22,55,1,55.0
11Y,5,77,2,38.5
11Y,6,96,4,24.0
11Y,7,194,4,48.5
11Y,8,259,2,129.5
11Y,9,126,3,42.0
11Y,10,109,2,54.5
11Y,11,122,2,61.0
11Y,12,65,1,65.0
11Y,13,63,2,31.5
11Y,14,249,4,62.2
11Y,15,316,2,158.0
11Y,16,148,3,49.3
11Y,17,253,1,253.0
11Y,18,170,1,170.0
11Y,19,160,2,80.0
11Y,20,116,3,38.7
11Y,21,214,3,71.3
11Y,22,138,3,46.0
11Y,23,17,1,17.0
11ÇB,5,29,1,29.0
11ÇB,6,606,6,101.0
11ÇB,7,1078,7,154.0
11ÇB,8,934,6,155.7
11ÇB,9,501,5,100.2
11ÇB,10,420,5,84.0
11ÇB,11,426,4,106.5
11ÇB,12,473,3,157.7
11ÇB,13,405,4,101.2
11ÇB,14,410,4,102.5
11ÇB,15,513,4,128.2
11ÇB,16,531,4,132.8
11ÇB,17,611,4,152.8
11ÇB,18,661,2,330.5
11ÇB,19,485,6,80.8
11ÇB,20,244,3,81.3
11ÇB,21,137,2,68.5
11ÇB,22,111,3,37.0
11Ü,5,29,1,29.0
11Ü,6,128,4,32.0
11Ü,7,376,5,75.2
11Ü,8,238,4,59.5
11Ü,9,159,4,39.8
11Ü,10,145,3,48.3
11Ü,11,183,3,61.0
11Ü,12,145,3,48.3
11Ü,13,120,2,60.0
11Ü,14,119,4,29.8
11Ü,15,304,4,76.0
11Ü,16,239,4,59.8
11Ü,17,238,4,59.5
11Ü,18,166,1,166.0
11Ü,19,38,2,19.0
11Ü,20,109,2,54.5
11Ü,21,45,1,45.0
11Ü,22,46,1,46.0
11ÜS,0,469,4,117.2
11ÜS,1,233,3,77.7
11ÜS,2,80,2,40.0
11ÜS,3,44,2,22.0
11ÜS,4,52,2,26.0
11ÜS,5,404,6,67.3
11ÜS,6,1282,19,67.5
11ÜS,7,2198,14,157.0
11ÜS,8,1936,11,176.0
11ÜS,9,1702,12,141.8
11ÜS,10,1260,10,126.0
11ÜS,11,1209,10,120.9
11ÜS,12,1234,9,137.1
11ÜS,13,1731,9,192.3
11ÜS,14,1219,8,152.4
11ÜS,15,1223,12,101.9
11ÜS,16,1609,12,134.1
11ÜS,17,1580,12,131.7
11ÜS,18,1560,10,156.0
11ÜS,19,1611,10,161.1
11ÜS,20,1201,9,133.4
11ÜS,21,847,7,121.0
11ÜS,22,946,9,105.1
11ÜS,23,602,6,100.3
12,6,97,3,32.3
12,7,411,5,82.2
12,8,633,6,105.5
12,9,539,5,107.8
12,10,526,5,105.2
12,11,531,5,106.2
12,12,572,5,114.4
12,13,576,5,115.2
12,14,600,5,120.0
12,15,570,5,114.0
12,16,670,5,134.0
12,17,631,5,126.2
12,18,550,6,91.7
12,19,448,5,89.6
12,20,235,2,117.5
12,21,172,2,86.0
12,22,30,1,30.0
121A,5,37,1,37.0
121A,6,327,7,46.7
121A,7,706,7,100.9
121A,8,663,7,94.7
121A,9,571,6,95.2
121A,10,534,6,89.0
121A,11,536,5,107.2
121A,12,544,7,77.7
121A,13,583,7,83.3
121A,14,554,7,79.1
121A,15,580,5,116.0
121A,16,606,5,121.2
121A,17,476,7,68.0
121A,18,504,5,100.8
121A,19,507,5,101.4
121A,20,480,6,80.0
121A,21,397,4,99.2
121A,22,284,4,71.0
121A,23,200,3,66.7
121B,5,39,1,39.0
121B,6,278,5,55.6
121B,7,568,8,71.0
121B,8,275,3,91.7
121B,9,358,3,119.3
121B,10,276,4,69.0
121B,11,291,3,97.0
121B,12,270,2,135.0
121B,13,305,3,101.7
121B,14,171,3,57.0
121B,15,350,3,116.7
121B,16,216,2,108.0
121B,17,326,3,108.7
121B,18,160,1,160.0
121B,19,108,1,108.0
121B,20,128,3,42.7
121BS,6,394,4,98.5
121BS,7,541,4,135.2
121BS,8,578,3,192.7
121BS,9,264,1,264.0
121BS,10,355,3,118.3
121BS,11,308,3,102.7
121BS,12,388,2,194.0
121BS,13,257,1,257.0
121BS,14,278,2,139.0
121BS,15,354,2,177.0
121BS,16,431,4,107.8
121BS,17,262,1,262.0
121BS,18,326,2,163.0
121BS,19,302,2,151.0
121BS,20,166,2,83.0
121BS,21,181,4,45.2
121BS,22,147,2,73.5
122C,5,23,2,11.5
122C,6,305,4,76.2
122C,7,388,5,77.6
122C,8,467,4,116.8
122C,9,412,3,137.3
122C,10,339,3,113.0
122C,11,305,2,152.5
122C,12,425,3,141.7
122C,13,347,4,86.8
122C,14,333,2,166.5
122C,15,242,2,121.0
122C,16,206,3,68.7
122C,17,168,2,84.0
122C,18,250,3,83.3
122C,19,183,1,183.0
122C,20,164,2,82.0
122C,21,110,3,36.7
122C,22,85,2,42.5
122C,23,30,1,30.0
122D,5,126,1,126.0
122D,6,289,4,72.2
122D,7,316,3,105.3
122D,8,230,1,230.0
122D,9,160,1,160.0
122D,10,137,2,68.5
122D,11,38,1,38.0
122D,12,129,3,43.0
122D,13,128,2,64.0
122D,15,90,1,90.0
122D,16,60,2,30.0
122D,18,92,2,46.0
122D,19,67,1,67.0
122D,20,25,1,25.0
122D,21,98,1,98.0
122D,22,101,1,101.0
122H,5,34,1,34.0
122H,7,40,1,40.0
122H,16,24,1,24.0
122M,5,55,1,55.0
122M,6,181,3,60.3
122M,7,108,3,36.0
122M,8,85,1,85.0
122M,10,82,1,82.0
122M,11,114,1,114.0
122M,12,109,1,109.0
122M,13,65,2,32.5
122M,14,86,2,43.0
122M,15,193,4,48.2
122M,16,143,2,71.5
122M,17,79,2,39.5
122M,18,84,1,84.0
122M,19,95,3,31.7
122M,21,36,1,36.0
122V,5,35,1,35.0
122V,7,124,2,62.0
122V,9,62,2,31.0
122V,11,16,1,16.0
122V,12,31,1,31.0
122V,14,17,1,17.0
122V,16,44,1,44.0
122V,18,7,1,7.0
122V,20,20,1,20.0
122V,21,35,1,35.0
122Y,6,63,2,31.5
122Y,7,136,2,68.0
122Y,9,64,2,32.0
122Y,15,39,1,39.0
122Y,16,65,1,65.0
122Y,17,14,1,14.0
122Y,18,73,1,73.0
122ÇK,7,35,2,17.5
