tarih,min_trafik_indeksi,max_trafik_indeksi,ort_trafik_indeksi
2015-08-06,24,63,57.86
2015-08-07,2,49,23.77
2015-08-11,11,62,38.6
2015-08-12,1,63,29.72
2015-08-13,2,56,28.56
2015-08-14,2,69,32.3
2015-08-15,1,47,24.18
2015-08-16,1,29,10.59
2015-08-17,1,58,25.75
2015-08-18,1,65,31.43
2015-08-19,2,67,32.29
2015-08-20,2,67,32.03
2015-08-21,2,76,35.66
2015-08-22,1,54,28.1
2015-08-23,2,36,17.38
2015-08-24,1,63,29.53
2015-08-25,1,74,35.21
2015-08-26,1,74,35.19
2015-08-27,1,78,38.01
2015-08-28,1,78,36.83
2015-08-29,1,65,33.51
2015-08-30,1,36,16.85
2015-08-31,1,65,31.26
2015-09-01,2,72,37.26
2015-09-02,4,76,39.75
2015-09-03,4,72,39.97
2015-09-04,4,81,37.53
2015-09-05,1,62,31.45
2015-09-06,1,40,18.43
2015-09-07,1,65,32.06
2015-09-08,4,69,33.89
2015-09-09,2,67,36.64
2015-09-10,4,72,36.56
2015-09-11,2,81,38.44
2015-09-12,1,78,36.99
2015-09-13,1,47,20.32
2015-09-14,1,67,29.94
2015-09-15,1,71,33.82
2015-09-16,4,72,37.45
2015-09-17,1,81,39.05
2015-09-18,4,76,38.17
2015-09-19,1,53,26.0
2015-09-20,1,26,9.31
2015-09-21,1,51,21.45
2015-09-22,1,49,20.73
2015-09-23,1,29,7.73
2015-09-24,1,36,12.61
2015-09-25,1,60,22.67
2015-09-26,1,49,22.81
2015-09-27,1,31,11.84
2015-09-28,1,74,25.28
2015-09-29,2,78,39.94
2015-09-30,8,72,41.47
2015-10-01,1,65,29.06
2015-10-02,1,67,32.59
2015-10-03,1,60,29.17
2015-10-04,1,47,19.1
2015-10-05,1,65,26.55
2015-10-06,1,69,35.59
2015-10-07,1,69,31.77
2015-10-08,1,71,35.19
2015-10-09,1,72,31.13
2015-10-10,1,72,31.0
2015-10-11,1,67,23.5
2015-10-12,2,71,31.09
2015-10-13,4,72,36.37
2015-10-14,1,69,33.51
2015-10-15,1,72,33.33
2015-10-16,1,78,34.01
2015-10-17,1,69,32.17
2015-10-18,1,53,19.68
2015-10-19,1,65,29.99
2015-10-20,1,69,31.75
2015-10-21,1,74,37.99
2015-10-22,4,83,37.7
2015-10-23,4,90,42.07
2015-10-24,6,74,36.93
2015-10-25,1,44,20.31
2015-10-26,1,65,27.94
2015-10-27,1,72,34.37
2015-10-28,1,69,34.35
2015-10-29,1,35,13.06
2015-10-30,1,65,24.19
2015-10-31,1,58,25.19
2015-11-01,1,36,8.48
2015-11-02,1,72,29.39
2015-11-03,1,71,32.24
2015-11-04,1,74,34.46
2015-11-05,1,74,33.28
2015-11-06,1,72,30.67
2015-11-07,1,69,30.09
2015-11-08,1,51,16.54
2015-11-09,1,71,26.57
2015-11-10,1,72,29.8
2015-11-11,1,74,32.94
2015-11-12,1,72,33.28
2015-11-13,2,80,33.87
2015-11-14,1,78,32.59
2015-11-15,1,56,22.24
